Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,42.445277000000004,-70.758333,Unknown,Unknown,Non-Fatal,Substantial,Airplane,CF-TLU,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,Unknown,Air Canada,,,1.0,44.0,VMC,Climb,Probable Cause,19-09-2017
20020909X01562,Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Unknown,Unknown,Unknown,BLACKBURN AG STRIP,Non-Fatal,Substantial,Airplane,N2482N,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,01-01-1982
20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Unknown,Unknown,N58,HANOVER,Non-Fatal,Substantial,Airplane,N7967Q,Cessna,401B,No,2.0,Reciprocating,Part 91: General Aviation,Unknown,Business,Unknown,0.0,0.0,0.0,2.0,IMC,Landing,Probable Cause,01-01-1982
20020917X02148,Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Unknown,Unknown,Unknown,Unknown,Non-Fatal,Destroyed,Airplane,N14779,Bellanca,17-30A,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,02-01-1983
20020917X02134,Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Unknown,Unknown,T72,HEARNE MUNICIPAL,Fatal(1),Destroyed,Airplane,N758SK,Cessna,R172K,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,1.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,02-01-1983
20020917X02119,Accident,FTW82FPJ10,1982-01-02,"CHICKASHA, OK",United States,Unknown,Unknown,Unknown,Unknown,Fatal(1),Destroyed,Airplane,N4876K,Navion,A,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,02-01-1983
20020917X02117,Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Unknown,Unknown,Unknown,Unknown,Fatal(2),Destroyed,Airplane,N9779L,Beech,19,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,02-01-1983
20020917X01656,Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Unknown,Unknown,Unknown,Unknown,Fatal(3),Destroyed,Airplane,N7641A,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,3.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,02-01-1983
20020917X02481,Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,Unknown,Unknown,5G6,CHERRY SPRINGS,Non-Fatal,Substantial,Airplane,N25084,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,02-01-1983
20020917X01894,Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Unknown,Unknown,YIP,WILLOW RUN,Non-Fatal,Substantial,Airplane,N68812,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,Instructional,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,02-01-1983
